customer_id,age,tenure_months,monthly_charges,total_charges,support_calls,contract_type,payment_method,internet_service,churn
CUST_000001,52,9,41.65,434.77,1,Two year,Electronic check,Fiber optic,0
CUST_000002,42,2,55.68,0.0,1,Two year,Mailed check,Fiber optic,0
CUST_000003,54,1,117.51,128.67,1,Month-to-month,Electronic check,Fiber optic,1
CUST_000004,67,2,99.08,105.28,1,Month-to-month,Bank transfer,No,1
CUST_000005,41,20,58.26,1026.29,4,One year,Electronic check,DSL,1
CUST_000006,41,1,76.89,117.99,2,One year,Bank transfer,DSL,0
CUST_000007,68,9,64.93,700.21,2,Month-to-month,Electronic check,DSL,1
CUST_000008,56,33,85.5,2783.05,2,Month-to-month,Mailed check,Fiber optic,1
CUST_000009,37,8,59.52,454.93,4,Month-to-month,Bank transfer,Fiber optic,1
CUST_000010,53,34,64.93,2093.91,4,Two year,Electronic check,Fiber optic,1
CUST_000011,38,32,103.48,3311.96,2,Month-to-month,Bank transfer,No,1
CUST_000012,38,6,100.85,681.13,4,One year,Credit card,Fiber optic,0
CUST_000013,48,31,122.9,3888.92,1,Month-to-month,Mailed check,DSL,1
CUST_000014,18,33,52.03,1771.61,1,One year,Electronic check,Fiber optic,1
CUST_000015,19,12,108.29,1237.58,1,Two year,Mailed check,DSL,1
CUST_000016,36,5,47.98,174.89,2,Month-to-month,Credit card,Fiber optic,0
CUST_000017,29,17,71.23,1290.51,5,Month-to-month,Bank transfer,DSL,1
CUST_000018,49,61,140.64,8660.51,2,One year,Bank transfer,Fiber optic,0
CUST_000019,31,24,77.45,1841.61,1,Two year,Bank transfer,No,1
CUST_000020,23,4,41.71,124.21,3,One year,Credit card,DSL,1
CUST_000021,66,27,49.49,1452.87,3,One year,Electronic check,DSL,0
CUST_000022,41,13,73.8,923.38,3,One year,Mailed check,Fiber optic,0
CUST_000023,46,21,106.77,2316.71,0,Month-to-month,Credit card,Fiber optic,0
CUST_000024,23,31,135.22,4178.15,2,One year,Bank transfer,Fiber optic,1
CUST_000025,36,17,107.24,1718.34,0,Month-to-month,Electronic check,DSL,1
CUST_000026,46,40,127.7,5269.28,5,Month-to-month,Credit card,DSL,1
CUST_000027,27,30,109.78,3305.5,2,One year,Electronic check,No,0
CUST_000028,50,22,120.54,2580.88,3,Two year,Mailed check,No,0
CUST_000029,35,3,29.13,0.0,6,Two year,Electronic check,No,1
CUST_000030,40,43,134.49,5654.21,1,Month-to-month,Credit card,Fiber optic,1
CUST_000031,35,65,92.14,5951.85,3,One year,Electronic check,Fiber optic,0
CUST_000032,72,3,113.66,533.5,5,One year,Credit card,DSL,0
CUST_000033,44,16,35.57,510.71,1,One year,Electronic check,Fiber optic,1
CUST_000034,29,7,95.02,809.92,3,Month-to-month,Bank transfer,No,0
CUST_000035,57,33,110.07,3619.2,2,Month-to-month,Electronic check,DSL,1
CUST_000036,26,30,134.69,3922.62,2,Month-to-month,Mailed check,DSL,1
CUST_000037,48,3,98.39,247.84,3,One year,Electronic check,Fiber optic,0
CUST_000038,18,50,83.26,4034.77,1,Month-to-month,Credit card,Fiber optic,1
CUST_000039,25,4,77.72,225.3,2,One year,Mailed check,No,0
CUST_000040,47,38,75.66,2786.32,3,Month-to-month,Bank transfer,Fiber optic,1
CUST_000041,56,14,46.6,462.05,1,Month-to-month,Credit card,Fiber optic,1
CUST_000042,47,9,49.35,595.43,0,Month-to-month,Electronic check,DSL,0
CUST_000043,43,4,44.2,197.91,2,Month-to-month,Mailed check,Fiber optic,1
CUST_000044,40,4,76.88,238.9,1,One year,Electronic check,No,0
CUST_000045,22,26,123.62,3236.19,3,Month-to-month,Electronic check,DSL,0
CUST_000046,34,19,120.77,2211.13,4,Month-to-month,Bank transfer,Fiber optic,0
CUST_000047,38,3,26.98,0.0,1,One year,Electronic check,DSL,0
CUST_000048,60,2,28.99,353.65,5,Two year,Mailed check,Fiber optic,0
CUST_000049,50,1,45.01,63.97,3,One year,Electronic check,DSL,0
CUST_000050,18,32,61.51,1909.29,0,Two year,Electronic check,DSL,0
CUST_000051,49,29,43.99,1082.29,2,Two year,Mailed check,Fiber optic,0
CUST_000052,39,1,59.35,0.0,0,Two year,Mailed check,DSL,0
CUST_000053,34,19,88.27,1842.63,2,Two year,Electronic check,Fiber optic,0
CUST_000054,54,2,78.82,307.83,0,One year,Mailed check,DSL,0
CUST_000055,60,56,102.34,5806.53,1,Two year,Bank transfer,DSL,0
CUST_000056,58,57,82.37,4583.42,0,Month-to-month,Bank transfer,No,0
CUST_000057,32,28,104.65,3081.07,1,Month-to-month,Bank transfer,Fiber optic,0
CUST_000058,40,62,133.65,8331.18,5,Two year,Credit card,DSL,0
CUST_000059,49,40,74.63,3050.59,2,Month-to-month,Bank transfer,Fiber optic,0
CUST_000060,59,42,49.55,2125.87,3,Two year,Mailed check,DSL,0
CUST_000061,37,20,59.63,1041.96,0,Month-to-month,Electronic check,Fiber optic,0
